observed_scientific_name,valid_scientific_name,vernacular_en
Stizostedion vitreum,Sander vitreus,walleye
Salvelinus,Salvelinus,chars
Lampetra appendix,Lethenteron appendix,american brook lamprey
Ictalurus punctatus,Ictalurus punctatus,channel catfish
Ichthyomyzon unicuspis,Ichthyomyzon unicuspis,silver lamprey
Picoides pubescens,Dryobates pubescens,downy woodpecker
Oreothlypis peregrina,Leiothlypis peregrina,tennessee warbler
Surnia ulula,Surnia ulula,northern hawk owl
Oreothlypis celata,Leiothlypis celata,orange-crowned warbler
Ammodramus leconteii,Ammodramus leconteii,bruant de leconte
Ammodramus nelsoni,Ammodramus nelsoni,nelson's sharp-tailed sparrow
Melanitta fusca,Melanitta fusca,velvet scoter
Strix nebulosa,Strix nebulosa,great gray owl
Falco rusticolus,Falco rusticolus,gyrfalcon
Ambystoma maculatum,Ambystoma maculatum,spotted salamander
Lithobates sylvaticus,Lithobates sylvaticus,wood frog
Plethodon cinereus,Plethodon cinereus,eastern red-backed salamander
Lithobates catesbeianus,Lithobates catesbeianus,american bullfrog
Eurycea bislineata,Eurycea bislineata,northern two-lined salamander
Storeria occipitomaculata,Storeria occipitomaculata,red-bellied snake
Thamnophis sirtalis,Thamnophis sirtalis,common garter snake
Necturus maculosus maculosus,Necturus maculosus,common mudpuppy
Anaxyrus americanus,Anaxyrus americanus,american toad
Pseudacris crucifer,Pseudacris crucifer,spring peeper
Lithobates pipiens,Lithobates pipiens,northern leopard frog
Notophthalmus viridescens,Notophthalmus viridescens,eastern newt
Lithobates clamitans melanota,Lithobates clamitans,green frog
Lithobates septentrionalis,Lithobates septentrionalis,mink frog
Chelydra serpentina,Chelydra serpentina,common snapping turtle
Ambystoma laterale,Ambystoma laterale,blue-spotted salamander
Hyla versicolor,Dryophytes versicolor,gray treefrog
Gyrinophilus porphyriticus porphyriticus,Gyrinophilus porphyriticus,spring salamander
Cottus ricei,Cottus ricei,spoonhead sculpin
Myoxocephalus scorpius,Myoxocephalus scorpius,shorthorn sculpin
Cancer irroratus,Cancer irroratus,atlantic rock crab
Clupea harengus,Clupea harengus,atlantic herring
Ammodytes americanus,Ammodytes americanus,american sand lance
Macrozoarces americanus,Zoarces americanus,ocean pout
Urophycis tenuis,Urophycis tenuis,mud hake
Pseudopleuronectes americanus,Pseudopleuronectes americanus,georges bank flounder
Pholis gunellus,Pholis gunnellus,rock gunnel
Etheostoma exile,Etheostoma exile,iowa darter
Carassius auratus,Carassius auratus,goldfish
Lepomis,Lepomis,common sunfishes
Dryobates villosus,Leuconotopicus villosus,hairy woodpecker
Pandion haliaetus,Pandion haliaetus,osprey
Vireo solitarius,Vireo solitarius,blue-headed vireo
Melospiza melodia,Melospiza melodia,song sparrow
Tringa flavipes,Tringa flavipes,lesser yellowlegs
Molothrus ater,Molothrus ater,brown-headed cowbird
Cardinalis cardinalis,Cardinalis cardinalis,northern cardinal
Corvus ossifragus,Corvus ossifragus,fish crow
Cyanocitta cristata,Cyanocitta cristata,blue jay
Thryothorus ludovicianus,Thryothorus ludovicianus,carolina wren
Passer domesticus,Passer domesticus,house sparrow
Lophodytes cucullatus,Lophodytes cucullatus,hooded merganser
Dryobates pubescens,Dryobates pubescens,downy woodpecker
Troglodytes aedon,Troglodytes aedon,house wren
Sturnus vulgaris,Sturnus vulgaris,common starling
Zenaida macroura,Zenaida macroura,mourning dove
Buteo lineatus,Buteo lineatus,red-shouldered hawk
Turdus migratorius,Turdus migratorius,american robin
Setophaga petechia,Setophaga petechia,mangrove warbler
Mergus merganser,Mergus merganser,common merganser
Sialia sialis,Sialia sialis,eastern bluebird
Columba livia,Columba livia,common pigeon
Hylocichla mustelina,Hylocichla mustelina,wood thrush
Mniotilta varia,Mniotilta varia,black-and-white warbler
Buteo jamaicensis,Buteo jamaicensis,red-tailed hawk
Agelaius phoeniceus,Agelaius phoeniceus,red-winged blackbird
Ardea alba,Ardea alba,great egret
Larus argentatus,Larus argentatus,european herring gull
Poecile atricapillus,Poecile atricapillus,black-capped chickadee
Cathartes aura,Cathartes aura,turkey vulture
Spizella passerina,Spizella passerina,chipping sparrow
Sitta carolinensis,Sitta carolinensis,white-breasted nuthatch
Anas crecca,Anas crecca,eurasian teal
Anas rubripes,Anas rubripes,american black duck
Baeolophus bicolor,Baeolophus bicolor,tufted titmouse
Spinus tristis,Spinus tristis,american goldfinch
Melanerpes carolinus,Melanerpes carolinus,red-bellied woodpecker
Branta canadensis,Branta canadensis,canada goose
Corvus brachyrhynchos,Corvus brachyrhynchos,american crow
Gavia immer,Gavia immer,common loon
Charadrius vociferus,Charadrius vociferus,killdeer
Icterus galbula,Icterus galbula,baltimore oriole
Aix sponsa,Aix sponsa,wood duck
Mimus polyglottos,Mimus polyglottos,northern mockingbird
Colaptes auratus,Colaptes auratus,northern flicker
Chlidonias niger,Chlidonias niger,black tern
Dumetella carolinensis,Dumetella carolinensis,gray catbird
Gavia stellata,Gavia stellata,red-throated diver
Haemorhous mexicanus,Haemorhous mexicanus,house finch
Polioptila caerulea,Polioptila caerulea,blue-gray gnatcatcher
Megaceryle alcyon,Megaceryle alcyon,belted kingfisher
Quiscalus quiscula,Quiscalus quiscula,common grackle
Larus delawarensis,Larus delawarensis,ring-billed gull
Larus marinus,Larus marinus,great black-backed gull
Sayornis phoebe,Sayornis phoebe,eastern phoebe
Setophaga ruticilla,Setophaga ruticilla,american redstart
Hirundo rustica,Hirundo rustica,barn swallow
Aythya affinis,Aythya affinis,lesser scaup
Bombycilla cedrorum,Bombycilla cedrorum,cedar waxwing
Junco hyemalis,Junco hyemalis,dark-eyed junco
Geothlypis trichas,Geothlypis trichas,common yellowthroat
Clangula hyemalis,Clangula hyemalis,long-tailed duck
Vireo gilvus,Vireo gilvus,warbling vireo
Zonotrichia albicollis,Zonotrichia albicollis,white-throated sparrow
Toxostoma rufum,Toxostoma rufum,brown thrasher
Ardea herodias,Ardea herodias,great blue heron
Passerculus sandwichensis,Passerculus sandwichensis,savannah sparrow
Branta bernicla,Branta bernicla,brant
Tachycineta bicolor,Tachycineta bicolor,tree swallow
Stelgidopteryx serripennis,Stelgidopteryx serripennis,northern rough-winged swallow
Melospiza georgiana,Melospiza georgiana,swamp sparrow
Circus hudsonius,Circus,NULL
Phalacrocorax auritus,Phalacrocorax auritus,double-crested cormorant
Melanitta americana,Melanitta nigra americana,american scoter
Charadrius semipalmatus,Charadrius semipalmatus,semipalmated plover
Meleagris gallopavo,Meleagris gallopavo,wild turkey
Catharus guttatus,Catharus guttatus,hermit thrush
Leucophaeus atricilla,Leucophaeus atricilla,laughing gull
Cygnus olor,Cygnus olor,mute swan
Pipilo erythrophthalmus,Pipilo erythrophthalmus,eastern towhee
Troglodytes hiemalis,Troglodytes hiemalis,NULL
Corvus corax,Corvus corax,common raven
Tringa melanoleuca,Tringa melanoleuca,greater yellowlegs
Tyrannus tyrannus,Tyrannus tyrannus,eastern kingbird
Setophaga virens,Setophaga virens,black-throated green warbler
Regulus calendula,Regulus calendula,ruby-crowned kinglet
Dryocopus pileatus,Dryocopus pileatus,pileated woodpecker
Tringa semipalmata,Tringa semipalmata,willet
Bucephala albeola,Bucephala albeola,bufflehead
Setophaga coronata,Setophaga coronata,myrtle warbler
Spizelloides arborea,Spizelloides arborea,american tree sparrow
Icterus spurius,Icterus spurius,orchard oriole
Archilochus colubris,Archilochus colubris,ruby-throated hummingbird
Geothlypis philadelphia,Geothlypis philadelphia,mourning warbler
Accipiter cooperii,Accipiter cooperii,cooper's hawk
Mergus serrator,Mergus serrator,red-breasted merganser
Calidris subruficollis,Tryngites subruficollis,buff-breasted sandpiper
Sphyrapicus varius,Sphyrapicus varius,yellow-bellied sapsucker
Spizella pusilla,Spizella pusilla,field sparrow
Seiurus aurocapilla,Seiurus aurocapilla,ovenbird
Gallinago delicata,Gallinago delicata,wilson's snipe
Piranga olivacea,Piranga olivacea,scarlet tanager
Coragyps atratus,Coragyps atratus,black vulture
Pluvialis squatarola,Pluvialis squatarola,black-bellied plover
Setophaga pensylvanica,Setophaga pensylvanica,chestnut-sided warbler
Eremophila alpestris,Eremophila alpestris,horned lark
Catharus fuscescens,Catharus fuscescens,veery
Egretta thula,Egretta thula,snowy egret
Calidris minutilla,Calidris minutilla,least sandpiper
Accipiter striatus,Accipiter striatus,sharp-shinned hawk
Bubo virginianus,Bubo virginianus,great horned owl
Certhia americana,Certhia americana,brown creeper
Aythya collaris,Aythya collaris,ring-necked duck
Mareca strepera,Anas strepera,gadwall
Spatula clypeata,Anas clypeata,northern shoveler
Melanitta deglandi,Melanitta fusca deglandi,white-winged scoter
Anas platyrhynchos,Anas platyrhynchos,mallard
Vireo olivaceus,Vireo olivaceus,red-eyed vireo
Passerina cyanea,Passerina cyanea,indigo bunting
Haematopus palliatus,Haematopus palliatus,american oystercatcher
Anas acuta,Anas acuta,northern pintail
Setophaga magnolia,Setophaga magnolia,magnolia warbler
Larus glaucoides,Larus glaucoides,iceland gull
Sterna forsteri,Sterna forsteri,forster's tern
Parkesia noveboracensis,Parkesia noveboracensis,northern waterthrush
Falco columbarius,Falco columbarius,merlin
Pheucticus ludovicianus,Pheucticus ludovicianus,rose-breasted grosbeak
Cistothorus palustris,Cistothorus palustris,marsh wren
Rynchops niger,Rynchops niger,black skimmer
Vireo philadelphicus,Vireo philadelphicus,philadelphia vireo
Regulus satrapa,Regulus satrapa,golden-crowned kinglet
Setophaga discolor,Setophaga discolor,prairie warbler
Somateria mollissima,Somateria mollissima,common eider
Contopus virens,Contopus virens,eastern wood pewee
Spinus pinus,Spinus pinus,pine siskin
Passerella iliaca,Passerella iliaca,fox sparrow
Podilymbus podiceps,Podilymbus podiceps,pied-billed grebe
Coccyzus erythropthalmus,Coccyzus erythropthalmus,black-billed cuckoo
Sitta canadensis,Sitta canadensis,red-breasted nuthatch
Strix varia,Strix varia,barred owl
Dolichonyx oryzivorus,Dolichonyx oryzivorus,bobolink
Empidonax traillii,Empidonax traillii,willow flycatcher
Setophaga americana,Setophaga americana,northern parula
Falco sparverius,Falco sparverius,american kestrel
Bucephala clangula,Bucephala clangula,common goldeneye
Helmitheros vermivorum,Helmitheros vermivorum,worm-eating warbler
Sturnella magna,Sturnella magna,eastern meadowlark
Plectrophenax nivalis,Plectrophenax nivalis,snow bunting
Aythya valisineria,Aythya valisineria,canvasback
Empidonax alnorum,Empidonax alnorum,alder flycatcher
Haemorhous purpureus,Haemorhous purpureus,purple finch
Sterna hirundo,Sterna hirundo,common tern
Calidris pusilla,Calidris pusilla,semipalmated sandpiper
Myiarchus crinitus,Myiarchus crinitus,great crested flycatcher
Calidris alba,Calidris alba,sanderling
Nycticorax nycticorax,Nycticorax nycticorax,black-crowned night heron
Riparia riparia,Riparia riparia,bank swallow
Bubo scandiacus,Bubo scandiacus,snowy owl
Setophaga palmarum,Setophaga palmarum,palm warbler
Coccyzus americanus,Coccyzus americanus,yellow-billed cuckoo
Nyctanassa violacea,Nyctanassa violacea,yellow-crowned night heron
Mareca americana,Anas americana,american wigeon
Melanitta perspicillata,Melanitta perspicillata,surf scoter
Arenaria interpres,Arenaria interpres,ruddy turnstone
Lecidea,Lecidea,NULL
Calidris alpina,Calidris alpina,dunlin
Numenius phaeopus,Numenius phaeopus,whimbrel
Butorides virescens,Butorides virescens,green heron
Plegadis falcinellus,Plegadis falcinellus,glossy ibis
Vireo flavifrons,Vireo flavifrons,yellow-throated vireo
Leiothlypis celata,Leiothlypis celata,orange-crowned warbler
Progne subis,Progne subis,purple martin
Egretta caerulea,Egretta caerulea,little blue heron
Buteo platypterus,Buteo platypterus,broad-winged hawk
Anser brachyrhynchus,Anser brachyrhynchus,pink-footed goose
Setophaga caerulescens,Setophaga caerulescens,black-throated blue warbler
Fulica americana,Fulica americana,american coot
Leiothlypis ruficapilla,Leiothlypis ruficapilla,nashville warbler
Calidris melanotos,Calidris melanotos,pectoral sandpiper
Morus bassanus,Morus bassanus,northern gannet
Zonotrichia leucophrys,Zonotrichia leucophrys,white-crowned sparrow
Setophaga pinus,Setophaga pinus,pine warbler
Chroicocephalus philadelphia,Chroicocephalus philadelphia,bonaparte's gull
Vireo griseus,Vireo griseus,white-eyed vireo
Vermivora cyanoptera,Vermivora cyanoptera,blue-winged warbler
Larus fuscus,Larus fuscus,lesser black-backed gull
Catharus ustulatus,Catharus ustulatus,swainson's thrush
Setophaga citrina,Setophaga citrina,hooded warbler
Coccothraustes vespertinus,Hesperiphona vespertina,evening grosbeak
Calcarius lapponicus,Calcarius lapponicus,lapland longspur
Oceanites oceanicus,Oceanites oceanicus,wilson's storm petrel
Podiceps grisegena,Podiceps grisegena,red-necked grebe
Setophaga fusca,Setophaga fusca,blackburnian warbler
Oxyura jamaicensis,Oxyura jamaicensis,ruddy duck
Anser caerulescens,Chen caerulescens,snow goose
Pluvialis dominica,Pluvialis dominica,american golden plover
Anser rossii,Chen rossii,ross's goose
Antigone canadensis,Grus canadensis,sandhill crane
Limnodromus griseus,Limnodromus griseus,short-billed dowitcher
Actitis macularius,Actitis macularius,spotted sandpiper
Tringa solitaria,Tringa solitaria,solitary sandpiper
Scolopax minor,Scolopax minor,american woodcock
Setophaga striata,Setophaga striata,blackpoll warbler
Melospiza lincolnii,Melospiza lincolnii,lincoln's sparrow
Anthus rubescens,Anthus rubescens,american pipit
Phasianus colchicus,Phasianus colchicus,common pheasant
Leiothlypis peregrina,Leiothlypis peregrina,tennessee warbler
Empidonax virescens,Empidonax virescens,acadian flycatcher
Aythya marila,Aythya marila,greater scaup
Aythya americana,Aythya americana,redhead
Setophaga tigrina,Setophaga tigrina,cape may warbler
Egretta tricolor,Egretta tricolor,tricolored heron
Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,american cliff swallow
Phalacrocorax carbo,Phalacrocorax carbo,great cormorant
Cardellina pusilla,Cardellina pusilla,wilson's warbler
Setophaga castanea,Setophaga castanea,bay-breasted warbler
Larus hyperboreus,Larus hyperboreus,glaucous gull
Empidonax minimus,Empidonax minimus,least flycatcher
Ammospiza maritima,Ammodramus maritimus,seaside sparrow
Calidris maritima,Calidris maritima,purple sandpiper
Limosa fedoa,Limosa fedoa,marbled godwit
Megascops asio,Megascops asio,eastern screech owl
Calidris fuscicollis,Calidris fuscicollis,white-rumped sandpiper
Rallus elegans,Rallus elegans,king rail
Rallus crepitans,Rallus crepitans,NULL
Empidonax flaviventris,Empidonax flaviventris,yellow-bellied flycatcher
Alca torda,Alca torda,razorbill
Spiza americana,Spiza americana,dickcissel
Pooecetes gramineus,Pooecetes gramineus,vesper sparrow
Plegadis chihi,Plegadis chihi,white-faced ibis
Aythya fuligula,Aythya fuligula,tufted duck
Branta hutchinsii,Branta hutchinsii,cackling goose
Aegolius acadicus,Aegolius acadicus,northern saw-whet owl
Bonasa umbellus,Bonasa umbellus,ruffed grouse
Podiceps nigricollis,Podiceps nigricollis,black-necked grebe
Rissa tridactyla,Rissa tridactyla,black-legged kittiwake
Spatula discors,Anas discors,blue-winged teal
Lanius borealis,Lanius borealis,NULL
Calidris bairdii,Calidris bairdii,baird's sandpiper
Piranga rubra,Piranga rubra,summer tanager
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,american white pelican
Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,yellow-headed blackbird
Catharus minimus,Catharus minimus,gray-cheeked thrush
Anser albifrons,Anser albifrons,greater white-fronted goose
Spizella pallida,Spizella pallida,clay-colored sparrow
Somateria spectabilis,Somateria spectabilis,king eider
Gavia pacifica,Gavia pacifica,pacific diver
Calidris himantopus,Calidris himantopus,stilt sandpiper
Porzana carolina,Porzana carolina,sora
Gallinula galeata,Gallinula chloropus galeata,NULL
Branta leucopsis,Branta leucopsis,barnacle goose
Mareca penelope,Anas penelope,eurasian wigeon
Botaurus lentiginosus,Botaurus lentiginosus,american bittern
Calidris mauri,Calidris mauri,western sandpiper
Loxia curvirostra,Loxia curvirostra,red crossbill
Asio otus,Asio otus,long-eared owl
Thalasseus maximus,Thalasseus maximus,royal tern
Protonotaria citrea,Protonotaria citrea,prothonotary warbler
Icteria virens,Icteria virens,yellow-breasted chat
Bubulcus ibis,Bubulcus ibis,cattle egret
Chroicocephalus ridibundus,Chroicocephalus ridibundus,black-headed gull
Passerina caerulea,Passerina caerulea,blue grosbeak
Limnodromus scolopaceus,Limnodromus scolopaceus,long-billed dowitcher
Oporornis agilis,Oporornis agilis,connecticut warbler
Passerina ciris,Passerina ciris,painted bunting
Accipiter gentilis,Accipiter gentilis,northern goshawk
Calonectris diomedea,Calonectris diomedea,cory's shearwater
Geothlypis formosa,Geothlypis formosa,kentucky warbler
Bartramia longicauda,Bartramia longicauda,upland sandpiper
Ammospiza leconteii,Ammodramus leconteii,bruant de leconte
Phalaropus tricolor,Phalaropus tricolor,wilson's phalarope
Buteo lagopus,Buteo lagopus,rough-legged buzzard
Ictinia mississippiensis,Ictinia mississippiensis,mississippi kite
Recurvirostra americana,Recurvirostra americana,american avocet
Phalaropus lobatus,Phalaropus lobatus,red-necked phalarope
Cepphus grylle,Cepphus grylle,black guillemot
Acanthis flammea,Acanthis flammea,common redpoll
Selasphorus rufus,Selasphorus rufus,rufous hummingbird
Petrochelidon fulva,Petrochelidon fulva,cave swallow
Thalasseus sandvicensis,Thalasseus sandvicensis,sandwich tern
Platalea ajaja,Platalea ajaja,roseate spoonbill
Dendrocygna autumnalis,Dendrocygna autumnalis,black-bellied whistling duck
Limosa haemastica,Limosa haemastica,hudsonian godwit
Ixoreus naevius,Ixoreus naevius,varied thrush
Zenaida asiatica,Zenaida asiatica,white-winged dove
Stercorarius parasiticus,Stercorarius parasiticus,parasitic jaeger
Charadrius wilsonia,Charadrius wilsonia,wilson's plover
Egretta garzetta,Egretta garzetta,little egret
Ardenna gravis,Puffinus gravis,great shearwater
Setophaga dominica,Setophaga dominica,yellow-throated warbler
Uria lomvia,Uria lomvia,thick-billed murre
Hydrocoloeus minutus,Hydrocoloeus minutus,little gull
Cygnus columbianus,Cygnus columbianus,tundra swan
Ardenna grisea,Puffinus griseus,sooty shearwater
Loxia leucoptera,Loxia leucoptera,two-barred crossbill
Calidris pugnax,Philomachus pugnax,ruff
Chondestes grammacus,Chondestes grammacus,lark sparrow
Tyrannus verticalis,Tyrannus verticalis,western kingbird
Alle alle,Alle alle,dovekie
Larus canus,Larus canus,mew gull
Gelochelidon nilotica,Gelochelidon nilotica,gull-billed tern
Larus californicus,Larus californicus,california gull
Buteo swainsoni,Buteo swainsoni,swainson's hawk
Tyrannus forficatus,Tyrannus forficatus,scissor-tailed flycatcher
Bombycilla garrulus,Bombycilla garrulus,bohemian waxwing
Pinicola enucleator,Pinicola enucleator,pine grosbeak
Calidris ferruginea,Calidris ferruginea,curlew sandpiper
Sialia currucoides,Sialia currucoides,mountain bluebird
Eudocimus albus,Eudocimus albus,american white ibis
Piranga ludoviciana,Piranga ludoviciana,western tanager
Zonotrichia querula,Zonotrichia querula,harris' sparrow
Cygnus buccinator,Cygnus buccinator,trumpeter swan
Antrostomus carolinensis,Antrostomus carolinensis,chuck-will's-widow
Tyrannus savana,Tyrannus savana,fork-tailed flycatcher
Porphyrio martinica,Porphyrio martinica,purple gallinule
Oenanthe oenanthe,Oenanthe oenanthe,northern wheatear
Phalaropus fulicarius,Phalaropus fulicarius,red phalarope
Vanellus vanellus,Vanellus vanellus,northern lapwing
Myiarchus cinerascens,Myiarchus cinerascens,ash-throated flycatcher
Icterus bullockii,Icterus bullockii,bullock's oriole
Acanthis hornemanni,Acanthis hornemanni,arctic redpoll
Anser anser,Anser anser,greylag goose
Elanoides forficatus,Elanoides forficatus,american swallow-tailed kite
Calidris ruficollis,Calidris ruficollis,red-necked stint
Sayornis saya,Sayornis saya,say's phoebe
Pelecanus occidentalis,Pelecanus occidentalis,brown pelican
Himantopus mexicanus,Himantopus mexicanus,ae'o
Corvus monedula,Coloeus monedula,eurasian crow
Pipilo chlorurus,Pipilo chlorurus,green-tailed towhee
Calcarius pictus,Calcarius pictus,smith's longspur
Mycteria americana,Mycteria americana,wood stork
Patagioenas fasciata,Patagioenas fasciata,band-tailed pigeon
Pagophila eburnea,Pagophila eburnea,ivory gull
Cynanthus latirostris,Cynanthus latirostris,broad-billed hummingbird
Dendrocygna bicolor,Dendrocygna bicolor,fulvous whistling duck
Fulmarus glacialis,Fulmarus glacialis,northern fulmar
Leucophaeus pipixcan,Leucophaeus pipixcan,franklin's gull
Myadestes townsendi,Myadestes townsendi,townsend's solitaire
Setophaga nigrescens,Setophaga nigrescens,black-throated gray warbler
Setophaga occidentalis,Setophaga occidentalis,hermit warbler
Passerina amoena,Passerina amoena,lazuli bunting
Aechmophorus occidentalis,Aechmophorus occidentalis,western grebe
Pheucticus melanocephalus,Pheucticus melanocephalus,black-headed grosbeak
Columbina passerina,Columbina passerina,common ground dove
Aegolius funereus,Aegolius funereus,boreal owl
Fregata magnificens,Fregata magnificens,magnificent frigatebird
Sturnella neglecta,Sturnella neglecta,western meadowlark
Streptopelia decaocto,Streptopelia decaocto,eurasian collared dove
Puffinus puffinus,Puffinus puffinus,manx shearwater
Onychoprion fuscatus,Onychoprion fuscatus,sooty tern
Stercorarius pomarinus,Stercorarius pomarinus,pomarine jaeger
Poecile hudsonicus,Poecile hudsonicus,boreal chickadee
Sterna paradisaea,Sterna paradisaea,arctic tern
Zonotrichia atricapilla,Zonotrichia atricapilla,golden-crowned sparrow
